feature,importance,rank
goes_ordinal_lag1,0.2865168216932945,1
cumulative_index,0.012601603934021344,2
cumulative_index_delta1,0.0050685318651366275,3
goes_flux_lag1,0.00010807010668993922,4
cumulative_index_roll6_std,2.9454810411144726e-05,5
xray_flux_short_lag3,2.7659895504217323e-05,6
xray_flux_short_delta1,1.2828737206849184e-05,7
goes_flux_roll24_std,9.110936446954376e-06,8
xray_flux_short_delta24,7.891494261147436e-06,9
xray_flux_short_roll12_mean,7.438560039951802e-06,10
magnetic_field_roll24_std,7.259281992699762e-06,11
magnetic_field_lag12,6.685292003894005e-06,12
xray_flux_short_delta6,6.019873452123292e-06,13
log_xray_flux_roll24_std,5.744789593564726e-06,14
sunspot_number_roll24_std,5.161015605215091e-06,15
cumulative_index_roll12_mean,4.42093728705295e-06,16
log_xray_flux_delta1,3.8823735764470514e-06,17
cumulative_index_roll24_std,3.3504121595751e-06,18
xray_flux_short_lag1,3.2486808005938173e-06,19
magnetic_field_roll6_mean,3.2483264789773257e-06,20
sunspot_number,3.230857319080904e-06,21
cumulative_index_roll12_std,2.8847180733260203e-06,22
goes_flux_roll12_max,2.764953748712884e-06,23
cumulative_index_delta6,2.0198620659606093e-06,24
cumulative_index_lag24,1.7344977014221997e-06,25
sunspot_number_roll12_std,1.6229128545930393e-06,26
goes_flux_roll24_max,1.5826837461707655e-06,27
log_xray_flux_delta24,1.5277472987573758e-06,28
log_xray_flux_roll6_mean,1.4644341062908238e-06,29
magnetic_field_lag24,1.4229848051217076e-06,30
goes_flux_lag12,1.3908149314456608e-06,31
xray_flux_short_lag24,1.3115197069257788e-06,32
cumulative_index_roll6_mean,1.2415325741033102e-06,33
sunspot_number_delta24,1.1399751613350162e-06,34
magnetic_field_lag1,9.894251325359704e-07,35
cumulative_index_roll6_max,9.130326448669734e-07,36
xray_flux_short_lag6,8.336132870434554e-07,37
log_xray_flux_roll12_mean,7.668799235638346e-07,38
hour_cos,7.354668100312267e-07,39
goes_flux_roll12_std,7.313698633604204e-07,40
